Storage System, Host Connection, Time, Interval (s), Cluster, Volume Group, Read Cache Hits - VCC (%), Read Cache Hits - VC (%), Read Cache Hits - overall (%), Write Cache Hits - VCC (%), Write Cache Hits - VC (%), Write Cache Hits - overall (%), Total Cache Hits - VCC (%), Total Cache Hits - VC (%), Total Cache Hits - overall (%), Disk to Cache Transfer Rate - VCC (ops/s), Disk to Cache Transfer Rate - VC (ops/s), Disk-to-Cache Transfer Rate (ops/s), Cache to Disk Transfer Rate - VCC (ops/s), Cache to Disk Transfer Rate - VC (ops/s), Cache-to-Disk Transfer Rate (ops/s), Read I/O Rate - overall (ops/s), Write I/O Rate - overall (ops/s), Total I/O Rate - overall (ops/s), Read Data Rate (MiB/s), Write Data Rate (MiB/s), Total Data Rate (MiB/s), Read Response Time (ms/op), Write Response Time (ms/op), Overall Response Time (ms/op), Read Transfer Size (KiB/op), Write Transfer Size (KiB/op), Overall Transfer Size (KiB/op), Write-cache Delay Percentage - VCC (%), Write-cache Delay Percentage - VC (%), Global Mirror Write I/O Rate (ops/s), Global Mirror Overlapping Write Percentage (%), Global Mirror Overlapping Write I/O Rate (ops/s), Peak Read Response Time (ms), Peak Write Response Time (ms), Global Mirror Secondary Write Lag (ms/op), Overall Host Attributed Response Time Percentage (%), Non-preferred Node Usage Percentage (%), Write-cache Delay Percentage (%), Write-cache Delay I/O Rate - VCC (ops/s), Write-cache Delay I/O Rate - VC (ops/s), Write-cache Delay I/O Rate (ops/s), Read-ahead Percentage of Cache Hits (%), Dirty Write Percentage of Cache Hits - VCC (%), Dirty Write Percentage of Cache Hits - VC (%), Dirty Write Percentage of Cache Hits (%), Write Cache Overflow Percentage (%), Write Cache Overflow I/O Rate (ops/s), Write Cache Flush-through Percentage - VCC (%), Write Cache Flush-through Percentage - VC (%), Write Cache Flush-through Percentage (%), Write Cache Flush-through I/O Rate - VCC (ops/s), Write Cache Flush-through I/O Rate - VC (ops/s), Write Cache Flush-through I/O Rate (ops/s), Write Cache Write-through Percentage - VCC (%), Write Cache Write-through Percentage - VC (%), Write Cache Write-through Percentage (%), Write Cache Write-through I/O Rate - VCC (ops/s), Write Cache Write-through I/O Rate - VC (ops/s), Write Cache Write-through I/O Rate (ops/s), Read I/O Rate - VC (ops/s), Read I/O Rate - VCC (ops/s), Write I/O Rate - VC (ops/s), Write I/O Rate - VCC (ops/s), Destage I/O Rate - VC (ops/s), Destage I/O Rate - VCC (ops/s), Stage I/O Rate - VC (ops/s), Stage I/O Rate - VCC (ops/s), Prestage I/O Rate - VCC (ops/s), Destage Response Time - VC (ms/op), Destage Response Time - VCC (ms/op), Stage Response Time - VC (ms/op), Stage Response Time - VCC (ms/op), Prestage Response Time - VCC (ms/op), Cache to Host Transfer Response Time (ms/op), Unaligned Write I/O Rate (ops/s), Total I/O Rate - VC (ops/s), Total I/O Rate - VCC (ops/s) 
SVC-2145-CS4SVC1-IBM, vaix_cs4cchkgpfss2, 5/2/18 12:01 PM, 299, , , 85.99, 0.0, 85.99, 100.0, 100.0, 100.0, 90.76, 35.98, 94.09, 1110.71, 1134.25, 2244.95, 374.45, 637.54, 1011.99, 128.04, 25.06, 153.1, 0.55, 0.31, 0.87, 0.34, 0.32, 0.33, 4.43, 12.721, 5.787, 0.0, 0.0, 0.0, 0.0, 0.0, 169.09, 2.85, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 43.58, 9.27, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 128.04, 134.62, 25.06, 30.95, 29.11, 12.93, 36.64, 14.68, 2.63, 0.34, 0.26, 0.88, 2.5, 3.17, 0.06, 0.0, 153.1, 165.57 
SVC-2145-CS4SVC1-IBM, vaix_cs4ceacpap11, 5/2/18 12:01 PM, 299, , , 30.65, 0.0, 30.65, 100.0, 100.0, 100.0, 58.25, 42.16, 75.85, 7639.97, 8315.65, 15955.62, 4826.76, 6062.18, 10888.94, 90.53, 74.21, 164.74, 4.06, 2.96, 7.01, 5.38, 1.87, 3.8, 45.88, 40.803, 43.593, 0.0, 0.0, 0.0, 0.0, 0.0, 1018.9, 33.36, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 1.89, 10.7, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 90.1, 246.19, 74.19, 148.26, 74.46, 33.91, 66.59, 123.01, 3.04, 0.4, 0.38, 5.65, 3.93, 2.16, 1.81, 0.0, 164.29, 394.45 
SVC-2145-CS4SVC1-IBM, vaix_cs4ceacpip09ha, 5/2/18 12:01 PM, 299, , , 67.55, 0.0, 67.55, 100.0, 100.0, 100.0, 98.53, 96.42, 99.94, 16.17, 38.98, 55.15, 836.28, 1052.47, 1888.76, 8.03, 119.51, 127.54, 0.02, 0.51, 0.53, 0.08, 0.2, 0.2, 2.429, 4.403, 4.279, 0.0, 0.0, 0.0, 0.0, 0.0, 12.71, 65.23, 0.0, 0.0, 39.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 8.02, 9.11, 119.5, 74.44, 71.83, 14.74, 8.95, 1.28, 0.04, 0.17, 0.28, 0.1, 3.12, 1.92, 0.09, 9.91, 127.53, 83.55 
SVC-2145-CS4SVC1-IBM, vaix_cs2cipdmqs01ha, 5/2/18 12:01 PM, 299, , , 16.21, 0.0, 16.21, 100.0, 100.0, 100.0, 63.14, 90.75, 96.59, 16.85, 2.61, 19.45, 10.89, 25.61, 36.49, 0.31, 2.74, 3.05, 0.0, 0.01, 0.01, 10.62, 0.54, 1.58, 4.16, 4.675, 4.622, 0.0, 0.0, 0.0, 0.0, 0.0, 169.09, 2.6, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 54.75, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.31, 1.41, 2.74, 2.79, 2.77, 1.17, 0.31, 1.28, 0.0, 0.91, 0.23, 6.45, 3.26, 0.0, 0.42, 0.0, 3.05, 4.2 
SVC-2145-CS4SVC1-IBM, vaix_cs2cipdwass02, 5/2/18 12:01 PM, 299, , , 16.21, 0.0, 16.21, 100.0, 100.0, 100.0, 63.14, 90.75, 96.59, 16.85, 2.61, 19.45, 10.89, 25.61, 36.49, 0.31, 2.74, 3.05, 0.0, 0.01, 0.01, 10.62, 0.54, 1.58, 4.16, 4.675, 4.622, 0.0, 0.0, 0.0, 0.0, 0.0, 169.09, 2.6, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 54.75, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.31, 1.41, 2.74, 2.79, 2.77, 1.17, 0.31, 1.28, 0.0, 0.91, 0.23, 6.45, 3.26, 0.0, 0.42, 0.0, 3.05, 4.2 
SVC-2145-CS4SVC1-IBM, vaix_cs2cipdgwys02, 5/2/18 12:01 PM, 299, , , 16.21, 0.0, 16.21, 100.0, 100.0, 100.0, 63.14, 90.75, 96.59, 16.85, 2.61, 19.45, 10.89, 25.61, 36.49, 0.31, 2.74, 3.05, 0.0, 0.01, 0.01, 10.62, 0.54, 1.58, 4.16, 4.675, 4.622, 0.0, 0.0, 0.0, 0.0, 0.0, 169.09, 2.6, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 54.75, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.31, 1.41, 2.74, 2.79, 2.77, 1.17, 0.31, 1.28, 0.0, 0.91, 0.23, 6.45, 3.26, 0.0, 0.42, 0.0, 3.05, 4.2 
SVC-2145-CS4SVC1-IBM, vaix_cs2cchkgpfss1, 5/2/18 12:01 PM, 299, , , 16.21, 0.0, 16.21, 100.0, 100.0, 100.0, 63.14, 90.75, 96.59, 16.85, 2.61, 19.45, 10.89, 25.61, 36.49, 0.31, 2.74, 3.05, 0.0, 0.01, 0.01, 10.62, 0.54, 1.58, 4.16, 4.675, 4.622, 0.0, 0.0, 0.0, 0.0, 0.0, 169.09, 2.6, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 54.75, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.31, 1.41, 2.74, 2.79, 2.77, 1.17, 0.31, 1.28, 0.0, 0.91, 0.23, 6.45, 3.26, 0.0, 0.42, 0.0, 3.05, 4.2 
SVC-2145-CS4SVC1-IBM, vaix_cs4cchkgpfsp1, 5/2/18 12:01 PM, 299, , , 30.53, 0.0, 30.53, 100.0, 100.0, 100.0, 58.15, 42.1, 75.77, 7645.54, 8315.65, 15961.18, 5070.99, 6048.83, 11119.82, 90.53, 78.67, 169.2, 4.06, 2.95, 7.01, 5.38, 1.77, 3.7, 45.88, 38.397, 42.401, 0.0, 0.0, 0.0, 0.0, 0.0, 1018.9, 33.36, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 8.23, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 90.1, 245.7, 78.68, 152.18, 71.9, 34.79, 66.38, 123.15, 3.02, 0.41, 0.38, 5.66, 3.92, 2.17, 1.79, 0.0, 168.78, 397.88 
SVC-2145-CS4SVC1-IBM, vaix_cs4cchkgpfsp2, 5/2/18 12:01 PM, 299, , , 30.45, 0.0, 30.45, 100.0, 100.0, 100.0, 58.18, 42.22, 75.84, 7654.36, 8315.65, 15970.01, 4939.99, 6077.7, 11017.69, 90.53, 81.93, 172.46, 4.06, 2.96, 7.02, 5.38, 1.71, 3.64, 45.88, 37.05, 41.685, 0.0, 0.0, 0.0, 0.0, 0.0, 1018.9, 33.36, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 1.91, 8.8, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 90.1, 245.84, 81.94, 155.48, 67.51, 34.02, 66.38, 123.58, 3.02, 0.42, 0.38, 5.66, 3.9, 2.17, 1.77, 0.0, 172.04, 401.32 
SVC-2145-CS4SVC1-IBM, vaix_cs4ceaas04, 5/2/18 12:01 PM, 299, , , 65.99, 0.0, 65.99, 100.0, 100.0, 100.0, 97.81, 99.79, 99.99, 5.74, 0.49, 6.23, 201.21, 244.07, 445.27, 0.06, 9.32, 9.38, 0.0, 0.12, 0.12, 18.17, 0.17, 0.29, 4.0, 13.092, 13.034, 0.0, 0.0, 0.0, 0.0, 0.0, 169.09, 11.92, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.41, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.06, 1.08, 9.32, 11.29, 12.87, 2.71, 0.55, 0.36, 0.02, 0.3, 0.32, 1.5, 5.82, 1.33, 0.08, 0.0, 9.38, 12.37 
SVC-2145-CS4SVC1-IBM, vaix_cs4ceais01ha, 5/2/18 12:01 PM, 299, , , 32.26, 0.0, 32.26, 100.0, 100.0, 100.0, 84.35, 92.6, 98.84, 15.75, 6.18, 21.93, 46.15, 77.44, 123.6, 1.04, 8.72, 9.77, 0.0, 0.04, 0.04, 0.13, 0.26, 0.25, 2.962, 4.439, 4.282, 0.0, 0.0, 0.0, 0.0, 0.0, 10.52, 24.84, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.33, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 1.04, 2.11, 8.73, 8.77, 7.11, 2.94, 2.27, 1.33, 0.03, 0.91, 0.24, 0.45, 3.62, 2.3, 0.09, 1.26, 9.77, 10.88 
SVC-2145-CS4SVC1-IBM, vaix_cs4ceais02ha, 5/2/18 12:01 PM, 299, , , 34.37, 0.0, 34.37, 100.0, 100.0, 100.0, 93.89, 97.25, 99.83, 14.73, 6.18, 20.91, 67.4, 218.82, 286.22, 1.04, 9.08, 10.12, 0.0, 0.11, 0.11, 0.13, 0.23, 0.22, 2.962, 12.054, 11.116, 0.0, 0.0, 0.0, 0.0, 0.0, 10.52, 16.73, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 58.54, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 1.04, 2.06, 9.08, 10.84, 9.01, 2.16, 2.26, 1.04, 0.03, 0.71, 0.28, 0.43, 3.85, 3.0, 0.1, 1.26, 10.13, 12.9 
SVC-2145-CS4SVC1-IBM, vaix_cs4cipdgwyp01, 5/2/18 12:01 PM, 299, , , 30.56, 0.0, 30.56, 100.0, 100.0, 100.0, 58.06, 41.87, 75.62, 7649.44, 8343.89, 15993.33, 4970.87, 6010.41, 10981.28, 90.7, 73.15, 163.85, 4.07, 2.93, 7.0, 5.38, 1.89, 3.82, 45.949, 41.035, 43.755, 0.0, 0.0, 0.0, 0.0, 0.0, 1018.9, 33.36, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 7.69, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 90.27, 245.93, 73.16, 146.74, 68.99, 34.75, 66.76, 123.4, 3.05, 0.47, 0.38, 5.63, 3.92, 2.18, 1.81, 0.0, 163.43, 392.67 
SVC-2145-CS4SVC1-IBM, vaix_cs4cipdgwyp02, 5/2/18 12:01 PM, 299, , , 30.61, 0.0, 30.61, 100.0, 100.0, 100.0, 57.96, 41.67, 75.47, 7641.52, 8343.81, 15985.33, 4941.44, 5961.04, 10902.48, 90.69, 69.49, 160.18, 4.07, 2.91, 6.98, 5.38, 1.98, 3.9, 45.954, 42.842, 44.604, 0.0, 0.0, 0.0, 0.0, 0.0, 1018.9, 33.36, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 1.89, 7.43, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 90.26, 245.93, 69.5, 142.89, 72.38, 35.64, 66.77, 122.97, 3.03, 0.39, 0.38, 5.63, 3.92, 2.17, 1.83, 0.0, 159.76, 388.81 
SVC-2145-CS4SVC1-IBM, vaix_cs4cipdwasp01, 5/2/18 12:01 PM, 299, , , 30.55, 0.0, 30.55, 100.0, 100.0, 100.0, 58.04, 41.85, 75.6, 7651.74, 8347.82, 15999.57, 4977.61, 6008.0, 10985.61, 90.74, 73.26, 164.0, 4.07, 2.93, 7.0, 5.38, 1.89, 3.82, 45.951, 40.959, 43.721, 0.0, 0.0, 0.0, 0.0, 0.0, 1018.9, 33.36, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 7.69, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 90.31, 246.2, 73.27, 146.81, 67.2, 35.31, 67.59, 124.22, 3.12, 0.44, 0.38, 5.58, 3.9, 2.16, 1.81, 0.0, 163.58, 393.01 
SVC-2145-CS4SVC1-IBM, vaix_cs4cipdwasp02, 5/2/18 12:01 PM, 299, , , 30.58, 0.0, 30.58, 100.0, 100.0, 100.0, 58.05, 41.86, 75.61, 7652.65, 8344.8, 15997.45, 4986.04, 6010.17, 10996.21, 90.71, 72.3, 163.02, 4.07, 2.93, 7.0, 5.38, 1.91, 3.84, 45.948, 41.515, 43.982, 0.0, 0.0, 0.0, 0.0, 0.0, 1018.9, 33.36, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9, 7.53, 0.0, , , , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 0.0, 0.0, , 90.29, 246.38, 72.31, 145.98, 71.83, 36.16, 66.79, 123.76, 3.02, 0.43, 0.37, 5.63, 3.91, 2.2, 1.82, 0.0, 162.6, 392.36 
